l,xi,xmax
-3.5,4.6,0.999479
-3.5,4.5,0.999479
-3.5,4.4,0.999479
-3.5,4.3,0.999479
-3.5,4.2,0.999479
-3.5,4.1,0.999479
-3.5,4.0,0.999479
-3.5,3.9,0.999479
-3.5,3.8,0.999479
-3.5,3.7,0.999479
-3.5,3.6,0.999479
-3.5,3.5,0.999479
-3.5,3.4,0.999479
-3.5,3.3,0.999479
-3.5,3.2,0.999479
-3.5,3.1,0.999479
-3.5,3.0,0.999479
-3.5,2.9,0.999479
-3.5,2.8,0.999479
-3.5,2.7,0.999479
-3.5,2.6,0.999479
-3.5,2.5,0.999479
-3.5,2.4,0.999478
-3.5,2.3,0.999478
-3.5,2.2,0.999478
-3.5,2.1,0.999478
-3.5,2.0,0.999477
-3.5,1.9,0.999477
-3.5,1.8,0.999476
-3.5,1.7,0.999475
-3.5,1.6,0.999474
-3.5,1.5,0.999473
-3.5,1.4,0.999471
-3.5,1.3,0.999469
-3.5,1.2,0.999466
-3.5,1.1,0.999463
-3.5,1.0,0.999458
-3.5,0.9,0.999453
-3.5,0.8,0.999446
-3.5,0.7,0.999437
-3.5,0.6,0.999427
-3.5,0.5,0.999413
-3.5,0.4,0.999396
-3.5,0.3,0.999374
-3.5,0.2,0.999347
-3.5,0.1,0.999313
-3.5,0.0,0.99927
-3.5,-0.1,0.999215
-3.5,-0.2,0.999147
-3.5,-0.3,0.999061
-3.5,-0.4,0.998953
-3.5,-0.5,0.998817
-3.5,-0.6,0.998645
-3.5,-0.7,0.99843
-3.5,-0.8,0.998158
-3.5,-0.9,0.997816
-3.5,-1.0,0.997386
-3.5,-1.1,0.996843
-3.5,-1.2,0.996161
-3.5,-1.3,0.995301
-3.5,-1.4,0.99422
-3.5,-1.5,0.992858
-3.5,-1.6,0.991144
-3.5,-1.7,0.988986
-3.5,-1.8,0.986269
-3.5,-1.9,0.982848
-3.5,-2.0,0.978542
-3.5,-2.1,0.973121
-3.5,-2.2,0.966296
-3.5,-2.3,0.957704
-3.5,-2.4,0.946887
-3.5,-2.5,0.93327
-3.5,-2.6,0.916127
-3.5,-2.7,0.894544
-3.5,-2.8,0.867374
-3.5,-2.9,0.833169
-3.5,-3.0,0.790107
-3.5,-3.1,0.735895
-3.5,-3.2,0.667647
-3.5,-3.3,0.581727
-3.5,-3.4,0.47356
-3.5,-3.5,0.337386
-3.5,-3.6,0.165953
-3.5,-3.7,0.0
-3.5,-3.8,0.0
-3.5,-3.9,0.0
-3.5,-4.0,0.0
-3.5,-4.1,0.0
-3.5,-4.2,0.0
-3.5,-4.3,0.0
-3.5,-4.4,0.0
-3.5,-4.5,0.0
-3.5,-4.6,0.0
-3.5,-4.7,0.0
-3.5,-4.8,0.0
-3.5,-4.9,0.0
-3.5,-5.0,0.0
-3.25,6.0,0.999397
-3.25,5.9,0.999397
-3.25,5.8,0.999397
-3.25,5.7,0.999397
-3.25,5.6,0.999397
-3.25,5.5,0.999397
-3.25,5.4,0.999397
-3.25,5.3,0.999397
-3.25,5.2,0.999397
-3.25,5.1,0.999397
-3.25,5.0,0.999397
-3.25,4.9,0.999397
-3.25,4.8,0.999397
-3.25,4.7,0.999397
-3.25,4.6,0.999397
-3.25,4.5,0.999397
-3.25,4.4,0.999397
-3.25,4.3,0.999397
-3.25,4.2,0.999397
-3.25,4.1,0.999397
-3.25,4.0,0.999397
-3.25,3.9,0.999397
-3.25,3.8,0.999397
-3.25,3.7,0.999397
-3.25,3.6,0.999397
-3.25,3.5,0.999397
-3.25,3.4,0.999397
-3.25,3.3,0.999397
-3.25,3.2,0.999397
-3.25,3.1,0.999397
-3.25,3.0,0.999397
-3.25,2.9,0.999397
-3.25,2.8,0.999397
-3.25,2.7,0.999396
-3.25,2.6,0.999396
-3.25,2.5,0.999396
-3.25,2.4,0.999396
-3.25,2.3,0.999396
-3.25,2.2,0.999395
-3.25,2.1,0.999395
-3.25,2.0,0.999394
-3.25,1.9,0.999394
-3.25,1.8,0.999393
-3.25,1.7,0.999391
-3.25,1.6,0.99939
-3.25,1.5,0.999388
-3.25,1.4,0.999386
-3.25,1.3,0.999383
-3.25,1.2,0.999379
-3.25,1.1,0.999375
-3.25,1.0,0.999369
-3.25,0.9,0.999362
-3.25,0.8,0.999353
-3.25,0.7,0.999341
-3.25,0.6,0.999327
-3.25,0.5,0.999309
-3.25,0.4,0.999286
-3.25,0.3,0.999257
-3.25,0.2,0.999221
-3.25,0.1,0.999175
-3.25,0.0,0.999118
-3.25,-0.1,0.999046
-3.25,-0.2,0.998955
-3.25,-0.3,0.99884
-3.25,-0.4,0.998696
-3.25,-0.5,0.998514
-3.25,-0.6,0.998286
-3.25,-0.7,0.997998
-3.25,-0.8,0.997636
-3.25,-0.9,0.997179
-3.25,-1.0,0.996605
-3.25,-1.1,0.995882
-3.25,-1.2,0.994972
-3.25,-1.3,0.993826
-3.25,-1.4,0.992384
-3.25,-1.5,0.990568
-3.25,-1.6,0.988282
-3.25,-1.7,0.985404
-3.25,-1.8,0.981781
-3.25,-1.9,0.977219
-3.25,-2.0,0.971477
-3.25,-2.1,0.964248
-3.25,-2.2,0.955147
-3.25,-2.3,0.943689
-3.25,-2.4,0.929265
-3.25,-2.5,0.911106
-3.25,-2.6,0.888245
-3.25,-2.7,0.859464
-3.25,-2.8,0.823232
-3.25,-2.9,0.777619
-3.25,-3.0,0.720195
-3.25,-3.1,0.647902
-3.25,-3.2,0.556891
-3.25,-3.3,0.442315
-3.25,-3.4,0.298073
-3.25,-3.5,0.116482
-3.25,-3.6,0.0
-3.25,-3.7,0.0
-3.25,-3.8,0.0
-3.25,-3.9,0.0
-3.25,-4.0,0.0
-3.25,-4.1,0.0
-3.25,-4.2,0.0
-3.25,-4.3,0.0
-3.25,-4.4,0.0
-3.25,-4.5,0.0
-3.25,-4.6,0.0
-3.25,-4.7,0.0
-3.25,-4.8,0.0
-3.25,-4.9,0.0
-3.25,-5.0,0.0
-3.0,6.0,0.999251
-3.0,5.9,0.999251
-3.0,5.8,0.999251
-3.0,5.7,0.999251
-3.0,5.6,0.999251
-3.0,5.5,0.999251
-3.0,5.4,0.999251
-3.0,5.3,0.999251
-3.0,5.2,0.999251
-3.0,5.1,0.999251
-3.0,5.0,0.999251
-3.0,4.9,0.999251
-3.0,4.8,0.999251
-3.0,4.7,0.999251
-3.0,4.6,0.999251
-3.0,4.5,0.999251
-3.0,4.4,0.999251
-3.0,4.3,0.999251
-3.0,4.2,0.999251
-3.0,4.1,0.999251
-3.0,4.0,0.999251
-3.0,3.9,0.999251
-3.0,3.8,0.999251
-3.0,3.7,0.999251
-3.0,3.6,0.999251
-3.0,3.5,0.999251
-3.0,3.4,0.999251
-3.0,3.3,0.999251
-3.0,3.2,0.999251
-3.0,3.1,0.999251
-3.0,3.0,0.999251
-3.0,2.9,0.999251
-3.0,2.8,0.999251
-3.0,2.7,0.999251
-3.0,2.6,0.99925
-3.0,2.5,0.99925
-3.0,2.4,0.99925
-3.0,2.3,0.999249
-3.0,2.2,0.999249
-3.0,2.1,0.999248
-3.0,2.0,0.999248
-3.0,1.9,0.999247
-3.0,1.8,0.999245
-3.0,1.7,0.999244
-3.0,1.6,0.999242
-3.0,1.5,0.999239
-3.0,1.4,0.999236
-3.0,1.3,0.999233
-3.0,1.2,0.999228
-3.0,1.1,0.999222
-3.0,1.0,0.999214
-3.0,0.9,0.999204
-3.0,0.8,0.999192
-3.0,0.7,0.999177
-3.0,0.6,0.999158
-3.0,0.5,0.999134
-3.0,0.4,0.999103
-3.0,0.3,0.999065
-3.0,0.2,0.999016
-3.0,0.1,0.998956
-3.0,0.0,0.998879
-3.0,-0.1,0.998783
-3.0,-0.2,0.998661
-3.0,-0.3,0.998508
-3.0,-0.4,0.998316
-3.0,-0.5,0.998074
-3.0,-0.6,0.997769
-3.0,-0.7,0.997385
-3.0,-0.8,0.996902
-3.0,-0.9,0.996294
-3.0,-1.0,0.995528
-3.0,-1.1,0.994564
-3.0,-1.2,0.99335
-3.0,-1.3,0.991822
-3.0,-1.4,0.989899
-3.0,-1.5,0.987478
-3.0,-1.6,0.984429
-3.0,-1.7,0.980591
-3.0,-1.8,0.975759
-3.0,-1.9,0.969677
-3.0,-2.0,0.962019
-3.0,-2.1,0.952379
-3.0,-2.2,0.940242
-3.0,-2.3,0.924963
